Customer,State,Customer_Lifetime_Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location_Code,Marital_Status,Monthly_Premium_Auto,Number_of_Policies,Policy,Renew_Offer_Type,Sales_Channel,Total_Claim_Amount,Vehicle_Class,Vehicle_Size
0,BU79786,Washington,2763.519279,No,Basic,Bachelor,Employed,F,56274,Suburban,Married,69,1,Corporate L3,Offer1,Agent,384.811147,Two-Door Car,Medsize
1,QZ44356,Arizona,6979.535903,No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,94,8,Personal L3,Offer3,Agent,1131.464935,Four-Door Car,Medsize
2,AI49188,Nevada,12887.43165,No,Premium,Bachelor,Employed,F,48767,Suburban,Married,108,2,Personal L3,Offer1,Agent,566.4722469999998,Two-Door Car,Medsize
3,WW63253,California,7645.861827,No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,106,7,Corporate L2,Offer1,Call Center,529.881344,SUV,Medsize
4,HB64268,Washington,2813.692575,No,Basic,Bachelor,Employed,M,43836,Rural,Single,73,1,Personal L1,Offer1,Agent,138.130879,Four-Door Car,Medsize
5,OC83172,Oregon,8256.2978,Yes,Basic,Bachelor,Employed,F,62902,Rural,Married,69,2,Personal L3,Offer2,Web,159.383042,Two-Door Car,Medsize
6,XZ87318,Oregon,5380.898636,Yes,Basic,College,Employed,F,55350,Suburban,Married,67,9,Corporate L3,Offer1,Agent,321.6,Four-Door Car,Medsize
7,CF85061,Arizona,7216.100311,No,Premium,Master,Unemployed,M,0,Urban,Single,101,4,Corporate L3,Offer1,Agent,363.02968,Four-Door Car,Medsize
8,DY87989,Oregon,24127.50402,Yes,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,2,Corporate L3,Offer1,Agent,511.2,Four-Door Car,Medsize
9,BQ94931,Oregon,7388.178085,No,Extended,College,Employed,F,28812,Urban,Married,93,8,Special L2,Offer2,Branch,425.527834,Four-Door Car,Medsize
10,SX51350,California,4738.9920219999985,No,Basic,College,Unemployed,M,0,Suburban,Single,67,3,Personal L3,Offer1,Agent,482.4,Four-Door Car,Small
11,VQ65197,California,8197.197078,No,Basic,College,Unemployed,F,0,Suburban,Married,110,3,Personal L3,Offer2,Agent,528.0,SUV,Medsize
12,DP39365,California,8798.797003,No,Premium,Master,Employed,M,77026,Urban,Married,110,3,Corporate L1,Offer2,Agent,472.029737,Four-Door Car,Medsize
13,SJ95423,Arizona,8819.018934,Yes,Basic,High School or Below,Employed,M,99845,Suburban,Married,110,8,Corporate L3,Offer2,Branch,528.0,SUV,Medsize
14,IL66569,California,5384.431665,No,Basic,College,Employed,M,83689,Urban,Single,70,8,Corporate L3,Offer4,Call Center,307.139132,Four-Door Car,Medsize
15,BW63560,Oregon,7463.139376999998,No,Basic,Bachelor,Employed,F,24599,Rural,Married,64,2,Corporate L2,Offer2,Branch,42.920271,Four-Door Car,Medsize
16,FV94802,Nevada,2566.867823,No,Basic,High School or Below,Medical Leave,M,25049,Suburban,Married,67,1,Personal L3,Offer2,Call Center,454.245098,Two-Door Car,Medsize
17,OE15005,California,3945.241604,No,Basic,College,Medical Leave,M,28855,Suburban,Married,101,1,Personal L2,Offer3,Call Center,647.4420309999998,SUV,Medsize
18,WC83389,Oregon,5710.3331149999985,No,Basic,College,Employed,M,51148,Urban,Married,72,7,Personal L2,Offer2,Branch,308.981664,Four-Door Car,Medsize
19,FL50705,California,8162.617053,No,Premium,High School or Below,Employed,F,66140,Suburban,Married,101,3,Corporate L2,Offer1,Call Center,484.8,Four-Door Car,Small
20,ZK25313,Oregon,2872.051273,No,Basic,High School or Below,Employed,M,57749,Suburban,Single,74,1,Personal L2,Offer1,Branch,355.2,Two-Door Car,Medsize
21,SV62436,Washington,3041.791561,No,Extended,Bachelor,Disabled,F,13789,Suburban,Divorced,79,1,Personal L3,Offer4,Call Center,379.2,Four-Door Car,Medsize
